origin_date,target_date,gap_days,model,model_label,common_n,mae_iv,rmse_iv,mse_iv,mean_benchmark_mse_iv,persistence_n,persistence_mse_iv,model_mse_on_persistence_support_iv
2026-08-03,2026-08-04,1,bs,Black-Scholes,78,0.009019163356751254,0.014561902034032589,0.00021204899084876244,0.00020526019285865051,54,7.405204311782084e-06,6.14966554762677e-05
2026-08-03,2026-08-04,1,heston,Heston,78,0.005028524685190168,0.006608552405313526,4.3672964893775195e-05,0.00020526019285865051,54,7.405204311782084e-06,1.7507636230448893e-05
2026-08-03,2026-08-04,1,bates,Bates,78,0.0030530677045146203,0.0039021372757942095,1.5226675319142654e-05,0.00020526019285865051,54,7.405204311782084e-06,8.377346658302347e-06
2026-08-03,2026-08-04,1,hawkes,Full Bates-Hawkes,78,0.002361234716459727,0.003515793152129576,1.236080148856122e-05,0.00020526019285865051,54,7.405204311782084e-06,5.110332055117315e-06
2026-08-04,2026-08-05,1,bs,Black-Scholes,75,0.005697023174643557,0.009565425236380305,9.14973599527812e-05,8.091698742161627e-05,62,5.058237698763856e-05,5.4114010870505705e-05
2026-08-04,2026-08-05,1,heston,Heston,75,0.005478314948326578,0.00781206806026108,6.102840737815131e-05,8.091698742161627e-05,62,5.058237698763856e-05,3.2738277441527005e-05
2026-08-04,2026-08-05,1,bates,Bates,75,0.007673518368184551,0.008734699971234411,7.629498358748243e-05,8.091698742161627e-05,62,5.058237698763856e-05,5.402050602369486e-05
2026-08-04,2026-08-05,1,hawkes,Full Bates-Hawkes,75,0.007699961874575644,0.00865489568113674,7.49072192513594e-05,8.091698742161627e-05,62,5.058237698763856e-05,6.185090821958207e-05
2026-08-05,2026-08-06,1,bs,Black-Scholes,75,0.007142847905656993,0.008720789608850523,7.605217140183527e-05,7.515223591636235e-05,69,1.983802942828652e-05,5.942761795420235e-05
2026-08-05,2026-08-06,1,heston,Heston,75,0.005793071158468749,0.006603238824578985,4.360276297442725e-05,7.515223591636235e-05,69,1.983802942828652e-05,3.8833065107350025e-05
2026-08-05,2026-08-06,1,bates,Bates,75,0.0044689602167879905,0.005259978681262352,2.766737572733444e-05,7.515223591636235e-05,69,1.983802942828652e-05,2.803659830842099e-05
2026-08-05,2026-08-06,1,hawkes,Full Bates-Hawkes,75,0.0038049966283316746,0.004576962434456889,2.094858512642953e-05,7.515223591636235e-05,69,1.983802942828652e-05,1.9972522240634057e-05
2026-08-06,2026-08-12,6,bs,Black-Scholes,131,0.007143899431228935,0.010594994021404203,0.0001122538983135908,0.00011856959963102116,108,4.5367997939029116e-05,6.0914850411508127e-05
2026-08-06,2026-08-12,6,heston,Heston,131,0.007066671229057171,0.008470458391821544,7.174866536758001e-05,0.00011856959963102116,108,4.5367997939029116e-05,4.9057488087285014e-05
2026-08-06,2026-08-12,6,bates,Bates,131,0.007728800930272599,0.008264349578459384,6.829947395498178e-05,0.00011856959963102116,108,4.5367997939029116e-05,6.035232785570179e-05
2026-08-06,2026-08-12,6,hawkes,Full Bates-Hawkes,131,0.008319242301515728,0.009147897391421198,8.368402668397077e-05,0.00011856959963102116,108,4.5367997939029116e-05,7.253376195254837e-05
2026-08-12,2026-08-17,5,bs,Black-Scholes,152,0.008725686606981711,0.011644070567703106,0.00013558437938564972,0.00014108450800410458,118,1.5504595953234708e-05,5.9779767376523055e-05
2026-08-12,2026-08-17,5,heston,Heston,152,0.005617569659628287,0.006974381273174978,4.864199414361383e-05,0.00014108450800410458,118,1.5504595953234708e-05,3.044642516470946e-05
2026-08-12,2026-08-17,5,bates,Bates,152,0.002272344350727217,0.0030095099373751107,9.057150063159542e-06,0.00014108450800410458,118,1.5504595953234708e-05,7.203962958368826e-06
2026-08-12,2026-08-17,5,hawkes,Full Bates-Hawkes,152,0.0023245525760913267,0.003069664467010452,9.422839940026564e-06,0.00014108450800410458,118,1.5504595953234708e-05,7.405538069560119e-06
