Date,gold_cond_vol,silver_cond_vol
2021-05-21,0.825570448593757,1.666277508809264
2021-05-24,0.8075422825844951,1.6403018819234139
2021-05-25,0.7910315290129127,1.6112071194657334
2021-05-26,0.7999219222956989,1.5856380391581457
2021-05-27,0.784164888948128,1.5724405900896492
2021-05-28,0.7678464407093664,1.5420325254956833
2021-06-01,0.7565434839935513,1.5045903723935403
2021-06-02,0.74427312266016,1.4687979790016934
2021-06-03,0.7373293831878868,1.460941656850884
2021-06-04,0.853095867790219,1.5569546045969158
2021-06-07,0.8674471702747547,1.546601466209704
2021-06-08,0.8520793711979814,1.512316338288957
2021-06-09,0.8362896128351484,1.4983724296796648
2021-06-10,0.8192064247691465,1.4703364044035965
2021-06-11,0.806767986604738,1.445525569315046
2021-06-14,0.831533580637866,1.4139111434525102
2021-06-15,0.8248202552298829,1.3810311619013722
2021-06-16,0.8118342452377122,1.360047698142515
2021-06-17,0.8852630981394558,1.3763096384500673
2021-06-18,1.1205078953388223,1.7689567410929483
2021-06-21,1.0988844143348142,1.7299285914990978
2021-06-22,1.1042052529390376,1.6961165965835465
2021-06-23,1.080008167988464,1.6669912113317895
2021-06-24,1.0522720867234598,1.625991201061287
2021-06-25,1.0255481877740658,1.588346987093557
2021-06-28,1.002155617648777,1.5545256528761546
2021-06-29,0.9771768783698848,1.5161691649671087
2021-06-30,0.9838516002345441,1.5111263409907398
2021-07-01,0.9653218559493044,1.509318848955991
2021-07-02,0.9445962576627492,1.4761236829980207
2021-07-06,0.9329603469325042,1.5022978702787928
2021-07-07,0.9169847237614055,1.4971924476510114
2021-07-08,0.89899733258339,1.460809202163904
2021-07-09,0.8782040958399764,1.4429230686833576
2021-07-12,0.8609388477202312,1.4197674120659451
2021-07-13,0.8420837303627146,1.3892929080534222
2021-07-14,0.8237420784948486,1.3706806584434732
2021-07-15,0.8402329122210959,1.3614479693707784
2021-07-16,0.8215847554530475,1.3314249263033877
2021-07-19,0.8347503558573379,1.4300855666057002
2021-07-20,0.8166308232079211,1.4753575269754773
2021-07-21,0.7996657369379521,1.4475244348552443
2021-07-22,0.7877215279601784,1.4413762146638653
2021-07-23,0.7722709107267739,1.4143045528873037
2021-07-26,0.7602109369574235,1.3967379122841717
2021-07-27,0.7471715303662828,1.3643794651424161
2021-07-28,0.7331697398850303,1.39286326810041
2021-07-29,0.7273415214721382,1.3776005425385454
2021-07-30,0.7546742372932161,1.4549296671863832
2021-08-02,0.7621358019443975,1.4228403029458454
2021-08-03,0.747442406335423,1.3927783971876007
2021-08-04,0.7329580675579732,1.368901728111109
2021-08-05,0.7188151524028329,1.344616452815945
2021-08-06,0.7115567317837902,1.3357548605130654
2021-08-09,0.9067601883654393,1.52962132829391
2021-08-10,0.9758699866249858,1.6995035401586813
2021-08-11,0.9518801636221138,1.6610512421613324
2021-08-12,0.9779364535286492,1.63591862870953
2021-08-13,0.9538646041892554,1.6355576562561132
2021-08-16,0.9835939748980372,1.6731800847475857
2021-08-17,0.9654124248224175,1.6359883556950923
2021-08-18,0.9426011586162831,1.6080856544903763
2021-08-19,0.9199856155509851,1.5743356504194985
2021-08-20,0.9009602697935624,1.5582689958895493
