conId,status,error,expiry,K
870311180,failed,no bars,2027-03-31 00:00:00,391.0
870312871,failed,no bars,2027-03-31 00:00:00,463.0
910576013,failed,no bars,2027-02-19 00:00:00,495.0
897587582,failed,no bars,2027-06-30 00:00:00,295.0
897587665,failed,no bars,2027-06-30 00:00:00,305.0
897588698,failed,no bars,2027-06-30 00:00:00,351.0
897590964,failed,no bars,2027-06-30 00:00:00,398.0
897592083,failed,no bars,2027-06-30 00:00:00,445.0
897592191,failed,no bars,2027-06-30 00:00:00,455.0
914634403,failed,no bars,2027-06-30 00:00:00,520.0
869073912,failed,no bars,2026-12-18 00:00:00,240.0
920628091,failed,no bars,2026-10-23 00:00:00,290.0
843266737,failed,no bars,2026-12-18 00:00:00,315.0
838423086,failed,no bars,2026-11-20 00:00:00,480.0
920632815,failed,no bars,2026-10-23 00:00:00,515.0
762981320,failed,no bars,2027-01-15 00:00:00,243.0
851615193,failed,no bars,2027-03-19 00:00:00,270.0
910574066,failed,no bars,2027-02-19 00:00:00,330.0
848877588,failed,no bars,2027-03-19 00:00:00,345.0
848877995,failed,no bars,2027-03-19 00:00:00,385.0
870312847,failed,no bars,2027-03-31 00:00:00,462.0
848878938,failed,no bars,2027-03-19 00:00:00,495.0
800378314,failed,no bars,2027-06-17 00:00:00,265.0
897587994,failed,no bars,2027-06-30 00:00:00,333.0
800379070,failed,no bars,2027-06-17 00:00:00,350.0
897590400,failed,no bars,2027-06-30 00:00:00,388.0
800379714,failed,no bars,2027-06-17 00:00:00,415.0
813159532,failed,no bars,2027-06-17 00:00:00,485.0
806090491,failed,no bars,2027-06-17 00:00:00,490.0
827394858,failed,no bars,2026-10-16 00:00:00,250.0
843266443,failed,no bars,2026-12-18 00:00:00,285.0
827013823,failed,no bars,2026-10-16 00:00:00,325.0
827395864,failed,no bars,2026-10-16 00:00:00,475.0
843268743,failed,no bars,2026-12-18 00:00:00,510.0
762981394,failed,no bars,2027-01-15 00:00:00,244.0
891787836,failed,no bars,2027-03-31 00:00:00,290.0
848877447,failed,no bars,2027-03-19 00:00:00,330.0
870310821,failed,no bars,2027-03-31 00:00:00,365.0
870311307,failed,no bars,2027-03-31 00:00:00,396.0
870312975,failed,no bars,2027-03-31 00:00:00,475.0
870313242,failed,no bars,2027-03-31 00:00:00,515.0
897587282,failed,no bars,2027-06-30 00:00:00,265.0
897588072,failed,no bars,2027-06-30 00:00:00,334.0
897589087,failed,no bars,2027-06-30 00:00:00,361.0
897591022,failed,no bars,2027-06-30 00:00:00,399.0
897591742,failed,no bars,2027-06-30 00:00:00,415.0
899168886,failed,no bars,2027-06-30 00:00:00,485.0
899168967,failed,no bars,2027-06-30 00:00:00,490.0
