expiry_iso,expiry_ymd,T,right,K,conId,localSymbol,symbol,bid,ask,mid,last,close,model_price,price_used,price_source,has_any_quote,impliedVol,delta,gamma,vega,theta,undPrice_model,volume,openInterest
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,324.0,811864704,GLD   260515P00324000,GLD,-1.0,-1.0,,-1.0,0.7,,0.7,close,True,,,,,,,0.0,326.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,332.0,811865051,GLD   260515P00332000,GLD,-1.0,-1.0,,-1.0,0.88,,0.88,close,True,,,,,,,0.0,185.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,341.0,811865494,GLD   260515P00341000,GLD,-1.0,-1.0,,-1.0,1.09,,1.09,close,True,,,,,,,0.0,258.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,349.0,811865905,GLD   260515P00349000,GLD,-1.0,-1.0,,2.13,1.36,,1.36,close,True,,,,,,,1.0,429.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,358.0,811866297,GLD   260515P00358000,GLD,-1.0,-1.0,,2.79,1.77,,1.77,close,True,,,,,,,16.0,1220.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,375.0,780427894,GLD   260515P00375000,GLD,-1.0,-1.0,,4.35,2.95,,2.95,close,True,,,,,,,158.0,10888.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,395.0,780427981,GLD   260515P00395000,GLD,-1.0,-1.0,,7.9,5.47,,5.47,close,True,,,,,,,141.0,3126.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,400.0,780428000,GLD   260515P00400000,GLD,-1.0,-1.0,,8.68,6.35,,6.35,close,True,,,,,,,478.0,16668.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,405.0,780428017,GLD   260515P00405000,GLD,-1.0,-1.0,,10.4,7.4,,7.4,close,True,,,,,,,339.0,3317.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,410.0,780428037,GLD   260515P00410000,GLD,-1.0,-1.0,,11.71,8.57,,8.57,close,True,,,,,,,687.0,17404.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,415.0,780428066,GLD   260515P00415000,GLD,-1.0,-1.0,,14.0,9.93,,9.93,close,True,,,,,,,121.0,1795.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,420.0,780428089,GLD   260515P00420000,GLD,-1.0,-1.0,,14.9,11.48,,11.48,close,True,,,,,,,318.0,8481.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,425.0,780428127,GLD   260515P00425000,GLD,-1.0,-1.0,,17.05,13.18,,13.18,close,True,,,,,,,407.0,27630.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,430.0,780428157,GLD   260515P00430000,GLD,-1.0,-1.0,,19.5,15.15,,15.15,close,True,,,,,,,810.0,3369.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,435.0,780428185,GLD   260515P00435000,GLD,-1.0,-1.0,,21.55,17.17,,17.17,close,True,,,,,,,448.0,1059.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,440.0,780428212,GLD   260515P00440000,GLD,-1.0,-1.0,,24.2,19.55,,19.55,close,True,,,,,,,59.0,3774.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,445.0,780428242,GLD   260515P00445000,GLD,-1.0,-1.0,,28.8,22.11,,22.11,close,True,,,,,,,23.0,2824.0
2026-05-15T16:00:00-04:00,20260515,0.11656869659034119,P,450.0,780428267,GLD   260515P00450000,GLD,-1.0,-1.0,,31.27,24.98,,24.98,close,True,,,,,,,130.0,3682.0
