percentile,GBM / BS,Heston,Bates,Full Bates--Hawkes
87,104.7431969475046,85.14748719125747,132.77335438177283,97.04504482294806
88,111.6366328703193,89.79335608433551,143.63782488096984,102.47580843495236
89,117.87295635085754,94.44539362584868,158.84151157774957,108.65055941950774
90,123.35464242565581,98.75460044989092,171.06994859080962,115.04441015501266
91,128.4209742278404,103.95836227604478,192.27232593586405,121.6134494733606
92,136.87827145991128,110.91014596638033,207.25281942731482,130.6412792735255
93,147.0739244815952,117.11474749511686,231.85044773470128,140.66621979686053
94,157.79737429995512,123.87655572685242,255.41221967355344,151.31232346856947
95,173.45175112073875,133.51786353063787,289.1073195413428,166.41796438516337
96,191.34121073219308,141.644669612674,328.4858342278332,181.72505493440883
97,222.36200400085366,156.25165269083422,380.4455307892501,204.34864850141656
98,252.32011482826616,177.97087423027273,454.06660655748504,234.3438814404155
99,314.15441166991707,223.2903041131023,625.3302581577924,316.5384635749935
100,623.3242553157917,560.8031971354615,2240.7323011064473,1089.0590072081998
